Systematic Name,TPM Glucose,TPM YEP,TPM Galactose,TPM Glucose_2,TPM YEP_2,TPM Galactose_2
YNL098C,64.591,40.3399,41.1021,70.6888,69.914,77.2888
YNL099C,31.3105,23.173,22.2519,32.5125,25.7375,23.8012
YNL100W,24.6213,109.213,76.8156,29.9347,153.5,85.2841
YNL101W,14.0847,12.4248,10.3924,15.3151,11.1636,12.4229
YNL102W,7.50016,7.69156,8.23724,6.84337,7.70745,8.66263
YNL103W,13.8519,16.2309,14.0559,12.2974,15.5442,15.6521
YNL103W-A,19.838,52.4958,26.457,28.7592,84.0842,38.7376
YNL104C,57.2159,201.883,83.9015,62.4211,218.487,77.2619
YNL105W,1.20388,1.52411,2.08381,1.90922,3.44534,2.39523
YNL106C,3.10592,3.23605,2.93311,3.71664,3.52595,3.49236
YNL107W,15.5924,14.0106,13.9836,16.0614,14.9678,15.8848
YNL108C,17.0142,7.61096,8.86619,20.225,7.51844,10.1211
YNL109W,20.5259,6.28593,8.23364,16.0248,6.23854,7.95754
YNL110C,168.967,101.296,110.906,146.746,79.483,98.0106
YNL111C,360.502,130.224,151.977,297.416,150.027,74.7832
YNL112W,254.226,147.549,194.788,212.631,88.8749,211.36
YNL113W,160.882,92.0894,94.9149,140.718,71.1415,76.8832
YNL114C,69.8003,40.1103,44.4839,67.7429,37.8758,36.5643
YNL115C,3.26393,10.9594,5.45682,4.75537,14.6401,10.3073
YNL116W,9.11234,12.3918,10.7999,7.26368,12.2185,10.2662
YNL117W,0.435325,19.2319,2.96633,0.622074,99.5988,1.28539
YNL118C,19.3121,15.4443,16.0444,19.9599,17.8046,19.752
YNL119W,25.5465,18.9883,19.5117,20.3982,16.8193,13.4193
YNL120C,6.28593,3.12436,4.38223,9.27654,8.60269,4.77921
YNL121C,41.5401,70.9007,64.792,49.7307,89.4313,65.9911
YNL122C,44.0959,107.971,93.215,37.1341,135.478,88.2789
YNL123W,25.5953,17.0122,17.9448,25.7672,15.407,20.2838
YNL124W,34.8028,16.0342,21.8655,26.7128,11.52,20.1922
YNL125C,7.56755,22.1279,14.3281,7.45674,25.6112,18.8515
YNL126W,5.54323,5.5365,5.07188,5.04425,5.79668,5.64504
YNL127W,4.48461,5.08308,4.04129,4.88099,5.61759,5.25649
YNL128W,0.804307,0.776211,0.651233,0.675012,0.99637,0.823473
YNL129W,19.7873,9.57923,12.2073,19.1451,9.44334,11.9483
YNL130C,23.5022,24.1937,18.7538,23.6451,25.9181,24.8309
YNL130C-A,1.14416,1.12182,0.784685,1.04807,1.20506,0.693846
YNL131W,166.159,227.897,205.332,166.576,309.317,224.588
YNL132W,42.528,18.5356,24.7066,42.6911,14.4413,26.5618
YNL133C,6.63866,7.6204,7.01412,7.18679,9.05948,8.83978
YNL134C,14.1338,23.5323,11.978,15.1693,27.8338,18.0479
YNL135C,686.018,859.708,589.4,603.274,726.94,572.481
YNL136W,14.5271,13.2197,12.0926,13.1777,13.9023,14.7395
YNL137C,20.6884,41.6451,45.714,18.5473,58.812,43.7722
YNL138W,49.3152,56.7828,47.5311,52.374,75.0893,70.7129
YNL138W-A,33.2454,38.7221,32.4353,39.0043,34.1955,36.6197
YNL139C,5.3834,4.6775,4.7457,6.17698,5.75513,6.78534
YNL140C,9.12304,8.87757,9.39396,6.39836,3.76759,4.99918
YNL141W,139.115,49.7966,76.2006,122.209,32.7409,81.6499
YNL142W,48.4802,11.5785,9.00012,31.0933,8.51525,11.1745
YNL143C,70.5762,76.9921,68.7706,48.018,63.0585,55.4507
YNL144C,1.69635,4.3002,7.88044,2.54266,3.91439,22.8405
YNL144W-A,0,0,0,0,0,0
YNL145W,516.076,221.146,253.373,418.658,256.695,283.083
YNL146C-A,31.536,32.4663,13.9036,28.2456,22.6043,22.0217
YNL146W,6.46892,10.6392,6.57806,7.28919,12.1429,9.12275
YNL147W,104.115,96.8958,85.8046,92.0147,91.1925,87.84
YNL148C,8.91961,8.21727,6.83319,7.79975,7.93521,9.478
YNL149C,110.42,79.7027,74.7188,114.733,63.9296,73.4447
